first_name,last_name,rut,Semestre,notasCurso1,notasCurso2,notasCurso3,notasCurso4,notasCurso5
Merry,Ranaghan,142534856,4,4.4,5.8,5.1,5.2,3.2
Griff,Dwire,719402336,5,6.7,4.2,6.0,4.6,1.1
Zea,Primett,526117328,2,2.7,2.4,5.9,6.9,6.0
Giuseppe,Bugbird,800499060,2,4.8,4.5,5.7,2.8,3.3
Genia,Danser,986241154,3,4.4,5.2,6.6,3.6,5.7
Griswold,Martinec,992384705,6,3.2,2.1,1.7,1.0,4.4
Phillip,Wilcox,973106509,1,1.8,4.3,6.4,3.1,6.3
Pippo,Kimbrough,402787379,6,5.4,6.2,5.2,5.5,4.9
Tandi,Domeny,494222811,5,3.1,4.7,5.1,2.1,3.1
Andie,Rosell,874941687,5,2.5,3.3,5.4,1.3,4.5
